Entity,average_probability,high_probability,low_probability,std_dev_probability
A helicopter dispatched by China's transport ministry,1.7920778804114053e-18,1.5535357096077982e-17,1.5291179274584537e-21,4.8370342119637106e-18
A lackluster All-Star game for Pujols,8.345684192954175e-41,4.087424570264749e-40,1.3353192844042567e-46,1.3115882696787455e-40
A modern dial tone,4.2255593856020147e-07,3.839246722803912e-06,2.54183805381141e-10,1.202960443351215e-06
A perfectionism,3.5665676946811803e-06,2.7787751535286504e-05,1.826053412917405e-08,8.621125657168535e-06
A political party registered to run in Myanmar's elections this year,2.257829974486628e-25,2.2155652777252134e-24,3.122789504344077e-34,6.992032710074242e-25
A prosecutor,0.005799620837666718,0.0368404652430875,9.972203067250968e-07,0.011159483813805833
A second Jordanian official,1.3404446700777939e-08,8.942814088589813e-08,5.812736681057023e-11,2.7705766952570978e-08
A six-month-old girl,5.387574366086918e-06,4.5504865467797136e-05,3.1808892678242326e-10,1.4292193532509825e-05
A sixth person,0.00011351033634751057,0.0007865009631543,3.0782063027946065e-07,0.00023926999238213455
"A spokesman for Gulf Canada, which is controlled by Toronto's Reichmann family",3.3258986521043408e-43,2.213862792146977e-42,7.51474786352417e-46,6.979392391575498e-43
A team of US Air Force experts,2.833535518981669e-10,2.1191860075225e-09,1.5513844642633022e-14,6.624933500799982e-10
A top Iranian reformist from a banned political party,4.736313114424983e-21,3.8456556934244484e-20,8.06213895191565e-29,1.1947128346800647e-20
A year,0.00845955927713918,0.0258697336939963,8.42198571715004e-05,0.009296715350664732
AARP Insurance Plan American Association,5.031600354914248e-15,3.915543872439246e-14,1.0034912633989034e-19,1.2417385559032804e-14
ABC Family,0.0202700886338102,0.1433359122750976,2.2316583133493557e-08,0.04414887519079765
ABC's John Martin,4.4024777673744314e-13,2.506460047271164e-12,1.074328196359584e-15,7.41280637714742e-13
ACC referee Ron Cherry,1.0847752009728185e-14,4.196855377143384e-14,1.060227466926585e-17,1.4576210557663842e-14
ACT headquarters,1.1351895429978867e-07,8.971212278744068e-07,1.178916329761692e-09,2.7736024080793604e-07
ARM architecture and List of ARM microprocessor cores,7.015621610558627e-31,6.80769135229842e-30,2.866575720202591e-36,2.146037335675476e-30
Aba Lujayn,4.0462386434183045e-17,3.328767111991947e-16,4.10439490169265e-20,1.0352141866152084e-16
Abba-Zabas,1.5885618193753158e-15,8.841545592391504e-15,1.555299185011939e-17,3.175505066595059e-15
Abraham,0.2535137825499987,0.9978715181350708,0.0003072771651204,0.3995047769236401
Aceh governor Irwandi Yusuf,5.296841637831224e-24,3.346089917517517e-23,5.7843418398427886e-30,1.1625768769335271e-23
Additional Resources The wikipedia,4.1577018271204654e-13,2.118741110235909e-12,9.377646934263793e-17,7.028535058154475e-13
Aden,0.12096309703575084,0.874405562877655,1.9373878501482977e-07,0.2829887913021434
Adkins,1.357178173303531e-06,6.533597829951884e-06,5.231672266773789e-08,1.9458145524263802e-06
Administration officials,0.00016259191356153503,0.0005863449734051,7.5184150192814515e-06,0.00022516957734861954
Aerosmith,1.5849057751351983e-05,6.208934105250219e-05,3.272206641767288e-06,2.0325044814141062e-05
Aetna,3.2258001486084687e-10,2.087994041895389e-09,2.9242186168745393e-13,6.346401548232464e-10
Afghanistan,0.08713327406439926,0.5533204674720764,0.0019627660512924,0.17886536298464187
Aftershock,1.6569221707319716e-12,1.5373994808671848e-11,2.8485865413529432e-15,4.828477523653386e-12
Agatharchides,1.325680815670929e-12,6.971833589092171e-12,9.921560283297354e-16,2.283153134786742e-12
Ahmadinejad,1.5145917374182574e-08,3.652385632871015e-08,1.1521773577892354e-09,1.2325949363205717e-08
Ahmose-Henuttamehu's mummy,3.348336673554886e-37,1.852278776165069e-36,9.112867652235999e-41,5.74837192120871e-37
Aizutakada,8.833754432740984e-12,6.326627524171936e-11,1.8002469161718874e-18,2.0571858930218944e-11
Al Gore,0.00022316527392074204,0.0012328848704646,1.5585328405767567e-06,0.00036749218051594494
Al-Dhahabi in his Talkhis al-Mustadrak,1.555349283592615e-39,1.259190272673635e-38,3.536489654284884e-45,3.938725828458724e-39
Alan Bean,3.6414526754697727e-07,1.4344140631337085e-06,1.441613450420592e-13,5.334031516224331e-07
Alan Cohn and Bobcat Goldthwait (the latter previously worked with Brown in Medusa: Dare to Be Truthful and Shakes the Clown),2.0844687165972744e-85,7.739981425132149e-85,9.9983048639791e-88,3.187274334566269e-85
Alang,1.110424623690097e-05,7.964637282947482e-05,1.2351175191462842e-07,2.431079897268116e-05
Albany County Republican Chairman Joseph C. Frangella,4.436710021336066e-25,3.7328048795987724e-24,2.296572032789368e-30,1.1667610147128384e-24
Albert Finney in Sidney Lumet's crime drama,2.1982396966996717e-27,1.132739108534513e-26,4.039152352353251e-30,4.179188361398836e-27
Alberta Party supporters,9.91849939262074e-08,4.022597169474373e-07,2.8103148313106376e-11,1.370802285035593e-07
"Aleksandr M. Prokhorov Shared the Nobel Prize in Physics in 1964 for, respectively, semiconductor lasers and",9.375286677991695e-53,8.356876923301988e-52,4.5898492332854874e-60,2.618771877966907e-52
Alex Webster,1.1149778025729285e-06,2.99176354413368e-06,2.076392904027061e-07,8.200075665325392e-07
Alex Wharf,1.9117630489103138e-09,1.1756394403491177e-08,4.210846753632359e-11,3.575441198730373e-09
Algeria,0.039215787319699255,0.1681559085845947,0.000423178600613,0.06024209520780531
Ali Duba,3.1101390510406196e-11,1.3409603546701754e-10,3.493277648432113e-13,4.213797663156369e-11
Ali Hewson,1.913626446584396e-16,9.474873653400432e-16,1.2461823379299297e-18,3.2174914202912164e-16
All of their friends,4.085614059762742e-07,2.503779638297066e-06,1.0292580723071974e-10,7.653757580142672e-07
All the players,0.0024251421202083996,0.0093540677929294,9.08234089877617e-06,0.0027447506931999343
All three men,0.00033892275337194585,0.0010516489053098,4.0006813197882953e-07,0.00039898093981216283
"Amblypygids, particularly the species Phrynus marginemaculatus and Damon diadema",6.787838465875177e-80,3.5323113674160696e-79,1.4010965372409102e-83,1.1082935471175766e-79
American,0.25523126604966817,0.8465988039970398,0.0025361473672091,0.32882939986073945
American Gangster,0.0009496122863578088,0.0043127513209982,1.364328252745334e-06,0.0016484273531892713
"American Sign Language, or ASL, for a time",4.62433854209212e-19,4.5659555732029035e-18,2.658168148639328e-22,1.4418945731750761e-18
American Telephone & Telegraph Co.,6.913449454027958e-07,3.332161579757226e-06,4.173584352141111e-10,1.1718851560419644e-06
American Wrestling Association,0.0020614961753703666,0.0086053094107021,1.2584867978057022e-08,0.003345497323962264
American aid efforts,7.737550848510966e-06,3.207255119956263e-05,5.4306173503643784e-09,1.2021646054926996e-05
American historian,0.005031317932567449,0.0278208493281937,3.698222002385744e-06,0.008310642518364665
An AT & T representative,2.4076471910541527e-10,1.245532668113172e-09,8.963824015244785e-13,3.8349336928397153e-10
An Italian foreign ministry official,1.4342027456923134e-08,4.2988994233120646e-08,7.79183079893764e-10,1.4029800938727344e-08
An Itinerary,2.887641361293169e-18,2.0175711549008165e-17,5.0189199645068234e-21,6.2689181897016015e-18
An older brother and sister,4.0466208995340674e-08,1.1076419320616377e-07,5.385074601883131e-11,3.7656536325666204e-08
An operation,0.004281805840250023,0.0321259096361297,6.435537360629682e-06,0.009840977337575383
Analysts,0.04012453840114173,0.1509096026420593,0.0032783616334199,0.04791430721074865
Anapa,5.907948594441582e-06,2.2353008197971945e-05,3.184182029313974e-07,6.695171024116356e-06
Anatolia,0.03130992029473413,0.1353993266820907,0.0001678998669376,0.04343784998566957
"Anchorage, Alaska",0.022704119203939947,0.1949578615887254,2.032995665912507e-05,0.06094762744446803
Ancient Egypt,0.02149815314405964,0.0918286411211233,1.4269026969403946e-05,0.032132855605527755
Andrew,0.4721411544102011,0.9908388257026672,0.0003905663907062,0.4837256971197626
Angelica Balabanov,4.159788528000513e-12,2.2239733731789172e-11,2.2103089311193602e-16,7.087862234329761e-12
Angels Fall First,2.8902463580204484e-10,1.0319118352790047e-09,3.602144011325496e-13,3.109366934889919e-10
Angola,0.16223425000207498,0.9824182391166688,0.0011850782902911,0.3154500914547584
Annaghmore,4.763185292827621e-09,2.126300167655675e-08,6.297498284519487e-15,8.316907182736462e-09
Anne-Marie Mediwake,3.45551848878129e-19,1.4870663656799277e-18,4.0569578274684684e-22,4.985212283006362e-19
Annette Lu,2.639680677720598e-07,1.0128295169643917e-06,4.038266577880987e-09,3.59640987508792e-07
Anniversary events,6.066458092796454e-05,0.0004537087827244,1.1395761716431283e-06,0.00013877462879338835
Antoninus Pius,2.472617129898472e-08,9.548129217329081e-08,2.0275073316371205e-12,3.186161834392526e-08
"Antonio Novello, whom Mr. Bush nominated to serve as surgeon general",3.0689680416535476e-33,3.0392441738008046e-32,2.761161345268088e-38,9.600585901642253e-33
Antwerpen,0.0003013136150736165,0.0028245330068497,1.3746515156444507e-09,0.000887175608762751
Apptix,1.0988566742395981e-10,4.5187216059010534e-10,1.7377802203109782e-11,1.293396506056455e-10
April,0.12012113837390641,0.9838204383850098,9.37367440201342e-06,0.305265656586315
Aqeel,4.478487741529396e-12,1.336067641929316e-11,1.8766430284128338e-13,5.529846067110914e-12
Aquino,0.3124317842950404,0.998606264591217,2.5150315195787695e-05,0.45197352061398655
Arab and Persian,1.7425754067174576e-06,1.5224762845042038e-05,7.022089745061156e-10,4.749645238578192e-06
Archibald,0.00022693147329841003,0.0004705734900198,0.0001135967904701,0.00010653701889852177
Archie Comics' characters,6.66546255556345e-07,4.145223321683373e-06,2.273933065898337e-09,1.3203355887826964e-06
Arechis I of Benevento,1.452634013194327e-23,1.2160186064637026e-22,2.9761933640843084e-30,3.797610222248632e-23
Argentine authorities in Comodoro Rivadavia,9.967332977689496e-38,4.448213780524807e-37,9.155526040249877e-43,1.6854472696292728e-37
Armor for Sleep,1.8070224182712917e-10,8.951365846841557e-10,9.116631184685275e-14,2.94872399438613e-10
Arthurian Legend,2.2533485688873728e-05,0.0001293940410218,3.129212276898014e-07,3.880796810780851e-05
Arua town,5.298296603703454e-10,4.297782395518308e-09,5.846357692100703e-12,1.3300452868812568e-09
Ascot Park railway station,2.28087577335844e-08,1.4722509739404338e-07,8.074339191652808e-10,4.417176902957606e-08
Ashfield,3.496639248170525e-05,0.0001064692680733,1.9447336060999333e-06,3.12048137787685e-05
Ashley Judd,0.0013629795670160843,0.0063732999443907,1.5576988605840936e-07,0.002531132797128291
Asia,0.01975650246022264,0.1393316835165023,0.0005198683356866,0.042741755128231515
Asian Football Confederation (AFC) President,1.2276297421207999e-05,0.0001190554057835,2.3617747925201675e-12,3.7526086638597934e-05
Assistant Secretary David Mullins,7.460494575552919e-13,4.305927854774385e-12,8.702598892509808e-15,1.293073806898147e-12
Athens,0.2301492707221769,0.9387035369873048,0.0017940265825018,0.3373964411803905
Atkinson,0.00037406637520685337,0.0006809988408349,1.0014286999648904e-05,0.00022869069256342738
Atlantic salmon,0.0005855001667053583,0.0021301162349756,7.142395167789354e-07,0.0006948879555560138
Australia,0.3380035938462242,0.8382261991500854,0.0003301051910966,0.3755360926606571
Australia's Asian policy structure,9.116838573758088e-12,6.794400371314114e-11,6.354528549155963e-15,2.1086077819513507e-11
Australian and New Zealander soldiers,9.139947735018134e-18,6.953487380683439e-17,1.0447941509678943e-20,2.1560046088069376e-17
Australian dollar,0.08694362614890064,0.8054170622514256,5.252241284950322e-07,0.25276924662015826
Australian football,0.004534405808235941,0.013252139886303,6.560994188150888e-05,0.004633101324192149
Austrian and international films,1.702654855027812e-08,1.544167545936795e-07,8.417239910284456e-11,4.83327667456026e-08
Automatix,2.2775844756032879e-07,1.402952131426704e-06,8.864301970682297e-10,4.228835093286059e-07
Awadh cuisine,3.829446040028255e-11,3.7019047762988297e-10,5.553064004861362e-16,1.166637536682475e-10
Axa,4.864239281514749e-06,2.0520099103093357e-05,4.943590348960204e-07,6.19049963996243e-06
Ayub,1.0103474149871182e-08,6.13290293927569e-08,2.4883989941681687e-12,1.9102909403554637e-08
Azucena in Verdi's Il Trovatore,6.356269758489306e-33,5.877094440317822e-32,4.164239183080198e-39,1.844386914308999e-32
Azure,0.004463612404015249,0.02635333314538,7.915682544989977e-06,0.00841011080058086
BC,0.657936891540885,0.9805933237075806,0.046864029020071,0.29103642092242943
Baba Hari Dass,1.249339497021412e-07,1.223658991779272e-06,1.139459106078489e-12,3.8608201519827493e-07
Babylon,0.1055652191775152,0.3842985332012176,0.0001602525881025,0.11441571094787814
"Bacteria in the urine, especially gram-negative rods",5.646020019218085e-17,2.0464384522507358e-16,2.8024020367902845e-20,6.961378603375425e-17
Bae Yong Joon's KeyEast Entertainment company,5.0528192270517e-29,2.746955998186422e-28,1.8065331728294465e-36,1.0363525325685378e-28
Balys Dvarionas,1.0707797948630125e-18,5.174776777592584e-18,2.8765673314129243e-24,1.7975811848784952e-18
Bam Margera,6.208744714748464e-11,2.1222193607811526e-10,7.673955692980355e-13,6.68156792504313e-11
Bandra in suburban Mumbai,9.617855614745316e-12,9.549955200642202e-11,7.170427374040001e-18,3.017607023503516e-11
Barak,0.040678945454801295,0.1015865728259086,1.7954859604304985e-13,0.041188082363892584
Barbados and the West Indies,5.482654468738883e-09,3.948523831401836e-08,1.1117957890925575e-11,1.2198131454238724e-08
Barney,0.0017055249576514494,0.0062720859423279,6.869741628179327e-05,0.001817155913463093
Barrow,0.09873391307974086,0.9695865511894226,2.9295812055352144e-05,0.30599740335453357
Barry Mann,0.0002639166929930852,0.0006829603050757,6.1314929746774525e-09,0.0002493815108929191
"Battle of Antietam, in which Union troops turned back a Confederate invasion of Maryland",9.439925527509358e-36,9.321102143530477e-35,7.142471838037211e-42,2.9435080076362173e-35
Battle of Jutland,1.351707417718417e-08,7.05350491806373e-08,1.0458548144297542e-12,2.5772878519723448e-08
Bayern Munich of West Germany in the European Cup final,3.183315246912529e-17,1.4132327179878447e-16,2.3567799841457147e-25,5.296799664887274e-17
Bayreuth and Plassenburg,4.793245736664915e-22,2.840716190859473e-21,1.3547303694538151e-30,1.0302932038997539e-21
Bearings taken by Pan American Airways stations,1.3152115228581827e-20,7.891049096688387e-20,1.0652138028202324e-25,2.4491010896537162e-20
Beckie,9.058889985857434e-08,2.0696121287279315e-07,1.7553237786087164e-08,7.127252809945085e-08
Beijing,0.3427793595357798,0.9844571948051452,0.0017899485537782,0.38412947787249946
Beijing West Road,3.5320477451618793e-07,3.51991155641825e-06,1.1076209571469991e-10,1.112669505155404e-06
Beijing's austerity programs,3.4236994524754854e-16,1.7477719717424786e-15,2.315411482206538e-21,6.809590401392006e-16
Belfast Car Ferries,2.649225902807122e-08,2.632762034783142e-07,3.630314508500663e-14,8.319827469404646e-08
Belgaum district,7.6756463476981e-14,7.060027254536212e-13,6.440818204699544e-16,2.2129221070214768e-13
Beltran Leyva leaders or operatives,5.156836374601215e-23,3.2082698205780675e-22,3.07470169451425e-26,1.0655065569960358e-22
Benjamin Netanyahu,1.1646100068628636e-10,9.011354465514695e-10,1.2631325941720925e-15,2.809504219258343e-10
Beruni,4.527128947350645e-09,3.2232701140069725e-08,5.23829043416892e-13,9.843133400398569e-09
Besson,3.4060583681957526e-05,0.0001951977453292,1.2664977063341109e-06,5.8206650496703904e-05
Best Player,5.880282400694834e-05,0.0004408078589507,8.352414170378106e-07,0.0001357728602981978
Betsy Engelken,4.3239070517095015e-13,2.0494065633565967e-12,5.6718867367395286e-14,6.110493310557454e-13
Big Show,0.009935375952391936,0.0309406904896416,2.675021646097184e-05,0.011764181570230809
"Bill Laswell, another electronic adventurer",4.286245593595154e-21,1.921146549248244e-20,1.8674270816075678e-26,6.641226997232962e-21
Bin Laden financed the attack and assigned one of his top assistants to supervise it,9.193731060521654e-33,9.187899913517232e-32,4.0479118794025744e-42,2.9052646651987033e-32
Binaural,7.690147214532453e-14,3.850132077079105e-13,1.11186098979623e-16,1.3817409946443e-13
Binod Kumar Singh of CPI (ML) L,2.5355799632815173e-18,2.128456798407569e-17,6.8784761476195295e-28,6.647030728046354e-18
Biological patents,2.4468491057322563e-06,1.3574967360413916e-05,4.3445862946282975e-10,4.4972090161712535e-06
Bishop of Charleston,8.665436293813776e-06,6.627067377510258e-05,1.7275365635521734e-08,2.032506810289593e-05
Bishops,0.27893361806345635,0.7308067679405212,0.0004142013785894,0.2826199136439577
Blachut,7.915750518997613e-16,4.765743655650883e-15,1.5550052412673456e-17,1.4472044388136892e-15
Blackmore replacing Edwards,1.9064279516222595e-12,1.033846854570379e-11,1.965158497620388e-17,3.8701994062227e-12
Bloordale Village,4.2321284475724495e-20,3.438181048001012e-19,2.8292974022647557e-24,1.0680008775861564e-19
Blowzabella,1.8874039911164216e-12,6.30834338012092e-12,1.1232267709345386e-14,1.7953391089538717e-12
Bob Fosse's snake looks and moves,3.5879809157131922e-28,1.4930758535397256e-27,5.7901521225210895e-31,5.0855040519672465e-28
Bohemia,0.12984133472837128,0.7112430930137634,4.672239811043255e-06,0.23219326222262282
Boise I,1.3531307910543864e-08,5.79494015976807e-08,6.644814451230943e-11,2.0268973762864328e-08
Bolton,0.02116325600039768,0.1986094713211059,1.3694010476683616e-06,0.06239724323387785
Bonar Law,1.6490186903183366e-11,9.080918885519663e-11,3.447248067240345e-15,2.793622012010233e-11
Book,0.3541979372501373,0.7985255122184753,0.0660479888319969,0.2330585732842778
Boston,0.11419377482416163,0.9972596168518066,1.0373365512350574e-05,0.31088206057420403
Both platforms,0.0007591020915620059,0.0049050288494604,3.248380308414501e-06,0.0014914596420257699
Bradford,0.07646252358244962,0.7577589750289917,0.0001396977313561,0.23938442381423833
"Brain cells producing other brain chemicals such as GABA, norepinephrine, serotonin and acetylcholine",1.4099892978213145e-86,1.3911643410719608e-85,2.2874996133129914e-92,4.392954756779462e-86
"Brazil, which witnessed five military presidents",1.2706659652079276e-17,1.1702006065762816e-16,9.781473838800064e-24,3.6778410260629887e-17
Brennan,0.00038976676296440004,0.0009340750984847,0.0001141508691944,0.00028010348686885336
Bridge,0.3998533089470584,0.935675084590912,0.0004567218129523,0.39083224388945176
British Airways,0.00016479859534928378,0.0007235067035798,5.464395118680396e-06,0.00023081323257996797
British overseas territories and overseas possessions of the Netherlands including Aruba and the former Netherlands Antilles,4.399070647207925e-30,2.2958219364089685e-29,2.9959431160810284e-35,6.892272022152943e-30
British success,2.0607392292529672e-05,0.0001323499551653,1.0020367990239737e-07,4.0364834158459505e-05
Brown,0.02316830158233637,0.0922142937779426,0.0010199821554124,0.028434423518979363
Budd Company,2.274480190277793e-05,8.81318388818661e-05,1.0430562966953372e-08,3.0729098989110816e-05
Buddha,0.2289732679164444,0.9155629277229308,0.0001079183057299,0.297049868130706
"Buffalo, New York",3.803116541600947e-07,1.237421944236625e-06,7.2135099538063454e-09,4.782004765360528e-07
Building,0.3942235320806503,0.97599458694458,0.0318924821913242,0.34412083875803406
Bush,0.11898144062870411,0.9414418935775756,0.0002414655609754,0.2914106246839942
CBN,0.045282352585925154,0.4522641003131866,7.667315315984524e-08,0.1429988676965326
CBS,0.1655528225295711,0.792990505695343,0.0002936992677859,0.245299131460358
CEO,0.10801202630245824,0.5727181434631348,0.0001835808943724,0.1815066062725467
CFB Trenton,1.3093654297645335e-08,3.0839749671626406e-08,9.275302342017964e-11,1.1530855393188218e-08
CIA,0.12242854498617813,0.6454811692237854,0.0004317079728934,0.20832748532398607
California,0.16634453692822715,0.8321908712387085,0.0006912967073731,0.31893526534836036
California's roads and bridges,6.8175006932018375e-12,1.9092719998514757e-11,2.4697189041628353e-16,7.650281510153157e-12
Caloundra in southern Queensland,5.409320347640352e-16,5.4084536039870986e-15,2.8398038102571663e-22,1.7102727544104582e-15
Camp Morton,0.00013257110190423554,0.0006949805049218,6.55546781899793e-08,0.00023847651107668496
Canada,0.1911728067323565,0.9954937696456908,0.0023536989465355,0.3542500972048673
Canberra and Melbourne,0.004030467608414062,0.0402242719247634,2.1736176701757708e-08,0.012717218869669186
Capri,0.0025453410488364787,0.0205705351155383,6.715566403049265e-06,0.0064429449213675395
Carl Edwards,0.000690779530547566,0.0029317796411139,2.4323659175017227e-05,0.0010095524121808397
Cartan,3.8736089077595814e-05,0.0002535627722356,2.7715523506043665e-07,7.663232302645607e-05
Castle Harlan,7.035673090549401e-09,2.6661497564489523e-08,4.970436138122304e-10,7.744143939483497e-09
Catholicism,0.0045956245299748335,0.014406562782824,3.7285670259734616e-05,0.005074919453605303
Catholics,0.1998045260319486,0.9468587636947632,0.0027955749537795,0.35521560438549554
Cerros de Quiman,2.355440579337915e-16,1.652977202761801e-15,2.596003953356637e-20,5.106638383209347e-16
"Charles II, Duke of Lorraine",1.5861168700657447e-06,1.3179701511567986e-05,3.4418374242676176e-10,4.140961999457445e-06
"Charles Mudede of The Stranger said ""It",4.890174166065967e-28,3.569990703406405e-27,2.1561230551594626e-30,1.089433968192492e-27
"Chattanooga, Tenn.",5.114291569029663e-15,3.213753852056873e-14,6.442310745774268e-18,9.980319680542354e-15
Chaucer College,5.059755279875084e-15,2.197787655766973e-14,1.5138820720993302e-16,6.50968896107981e-15
Chekhov,3.212720498819012e-05,9.58024079536603e-05,7.903653429815663e-07,2.9118681438726096e-05
Cheltenham College Junior School,7.689008411860418e-11,5.57275674549793e-10,4.9234032762355925e-14,1.7060646189283532e-10
Chennai's first match of the tournament,2.633776611366379e-15,2.4477848958884594e-14,8.161242624304325e-20,7.689778888898257e-15
Cherokee County,0.0003204402867744366,0.0018190933173635,7.368394355219403e-08,0.0005550185607475865
Chicago,0.1668377900961786,0.96542090177536,0.0047468137927353,0.3091411752692546
Chicago's south side,3.5300134201544326e-07,1.6470837606601513e-06,5.9977870474830715e-09,5.356417212950142e-07
China,0.23261347250081593,0.9673020839691162,0.0010222950950264,0.3155002365244469
China II as the villainous General Lan,3.366706392688841e-24,2.4008997206042705e-23,4.977839613402613e-28,7.782528175564769e-24
"China's top political advisor, Jia Qinglin",3.7734426075761e-17,3.2421581364170304e-16,2.6194543183765866e-22,1.0202481187552944e-16
"China, in recent years also introduced a production line of pre-separating kilns, constructed large scale",8.173974910522966e-44,8.173974577211112e-43,3.300289270055269e-54,2.584837708318513e-43
Chinese exporters,8.9074188493875e-06,4.59904583936731e-05,8.308523639286673e-08,1.3665706700562724e-05
Chordeleg,1.1842541269116875e-14,7.012939654857518e-14,1.3182674938367114e-16,2.0924830916347364e-14
Christine,0.00016798901622221127,0.0007164788548834,3.569914724721457e-06,0.00023150174548338637
Christoph Willibald Gluck,3.5437509303580145e-27,3.450961342188104e-26,6.111932865558822e-32,1.0881795704035442e-26
Chrysler,0.016575568002980334,0.1118898689746856,4.893906293546024e-07,0.034232440891344154
CityRail,2.1416140192916652e-05,0.0001072160507322,1.2165385973937893e-07,3.305837575966809e-05
Civil Aviation Safety Authority,0.0009665455008726934,0.005686469359755,3.237825638631536e-07,0.00197993912065223
Civil War,0.035092130606267605,0.1531962144321532,0.0013215403164067,0.04952345947441022
"Cleethorpes, North East Lincolnshire, England",5.911270871526469e-22,5.220784720833359e-21,1.4451591838402892e-32,1.634482351724799e-21
Clement Desessard,1.4096677845968944e-16,4.545123329219432e-16,3.304519665264693e-17,1.3067181446446009e-16
Clifton Williams,8.921245252776734e-06,5.144477848593922e-05,1.0885127291031012e-08,1.5450347131059923e-05
Clinton's visit,1.679972779513897e-07,7.91053542516793e-07,8.183534640151872e-11,2.5067503544916554e-07
Clopidogrel,2.568990304392635e-19,1.3672253978332828e-18,1.087826404975493e-21,5.277043116773972e-19
Clube Atletico Paranaense and Democrata Futebol Clube,9.898543196916822e-31,4.362940532779002e-30,2.5476173232720416e-35,1.4693783793349697e-30
"Clube Atletico Taquaritinga, commonly known as Taquaritinga",1.4119699075357836e-46,1.4119641038412396e-45,1.5023800887786914e-55,4.465020503338237e-46
Clun Forest,2.6256099840943085e-13,7.346595270486344e-13,3.416609355708098e-15,2.8712030019395266e-13
Col de la Madonne transmitter is a very large broadcasting centre,6.704591490353323e-32,6.151598615166591e-31,3.2571296016148607e-39,1.9322297299151515e-31
"Cole Porter, her first being",3.3076521893945946e-15,3.301827422468688e-14,5.651874039263782e-22,1.043925935206383e-14
Collie and Dardanup,5.624489270477739e-19,4.5191014942776185e-18,4.3563743124782255e-25,1.398495853408097e-18
Collier's Weekly,1.1917641309229613e-08,3.864973162721747e-08,6.912972296717583e-11,1.2145750751259999e-08
Colombo,0.10326185145531777,0.9970237612724304,6.281565583776683e-05,0.3140917814436172
Comments on the Peak of Eloquence (Sharh Nahj al-Balagha'),4.8328520491138694e-61,3.7051449895821436e-60,1.724727305834417e-63,1.1371692632500791e-60
Common examples,1.5887453580700718e-05,5.873513352729217e-05,7.398550689507584e-07,1.9242319268470846e-05
Complutense University,2.929758173030923e-17,1.493932854430376e-16,1.299829518769111e-20,5.122164024656164e-17
Comrade Putin,6.129955418194277e-08,3.351488004108876e-07,2.5700834001353327e-10,1.0249749916346868e-07
Confucianism,2.115609304389248e-13,2.11491893483173e-12,7.506393037657864e-19,6.687718400130556e-13
Convent Thoughts,4.936821635955035e-09,2.554993176323828e-08,1.6917509676129065e-11,8.481245527056569e-09
Coogee,2.5819563219127818e-12,1.204695447974497e-11,5.4008982084536425e-16,4.306597086071166e-12
"Copenhagen, Denmark",0.024608842204996338,0.2450009310775939,1.0916100031911657e-07,0.0774383185945882
Cosby,2.607701507068161e-05,0.00010495813135,9.144974625960155e-08,4.112404434131353e-05
Cosworth,4.832399184035321e-05,0.000150529915025,7.730788543531316e-06,5.310801492949893e-05
County Durham,0.0028740956660704155,0.0145466501108932,4.097099283854357e-07,0.005412843732627055
