Entity,average_probability,high_probability,low_probability,std_dev_probability
"Aleksandr M. Prokhorov Shared the Nobel Prize in Physics in 1964 for, respectively, semiconductor lasers and",7.638246460514124e-28,4.3820003979440505e-27,4.296997479411102e-33,1.3407114253643236e-27
Alex Webster,3.993036761036937e-06,3.271930240564356e-05,1.9151042660238202e-10,1.0140531507450615e-05
Alex Wharf,5.298271200440658e-13,3.880852149187502e-12,6.091985441807114e-15,1.1985883435984578e-12
Algeria,0.020695942378370063,0.0665428191423416,9.954790584743024e-05,0.02881985162031945
Ali Duba,3.659973312667017e-12,9.436324917110667e-12,4.2638036027584964e-15,4.126607704395262e-12
Ali Hewson,4.0904532440533566e-06,2.106449167639179e-05,2.2079132635040562e-10,8.415755966481933e-06
All of their friends,1.5605360710592923e-06,8.51849061464858e-06,3.838100667989169e-09,2.6781880223629913e-06
All the players,4.679819083762439e-06,1.6075324048828164e-05,4.2281686179788666e-08,5.839370375606279e-06
All three men,4.864315713062305e-09,2.675468664816396e-08,4.014874103346227e-11,8.171253272207251e-09
"Amblypygids, particularly the species Phrynus marginemaculatus and Damon diadema",1.6910954305683787e-37,1.2684689897980496e-36,9.503421897773696e-43,4.0787418032406736e-37
American,0.04762674854246138,0.2821304500102997,4.732045272248797e-05,0.084931862455723
American Gangster,7.141527450130421e-05,0.0001600187045977,8.26958106696927e-08,5.323588192444926e-05
"American Sign Language, or ASL, for a time",6.887956363340709e-13,5.78146875392648e-12,9.667869981268636e-18,1.8044195824176786e-12
American Telephone & Telegraph Co.,1.115404176828085e-06,3.1785500158390234e-06,7.726873121077696e-09,1.0784864680977685e-06
American Wrestling Association,0.0015047142157902263,0.0137641743854946,2.190908807726349e-10,0.004311905341576302
American aid efforts,7.740113822563616e-08,5.809176708554932e-07,6.760324764713864e-11,1.7892552625869614e-07
American historian,0.01916718887450746,0.0971360168714277,0.0003294155459791,0.02837304611527385
An AT & T representative,1.4685577709396254e-09,4.6276328024738405e-09,3.441110972829305e-13,2.058036475968195e-09
An Italian foreign ministry official,2.370322216849301e-10,2.3427968453831287e-09,2.750086506105197e-13,7.399106111328667e-10
An Itinerary,9.971906296869272e-05,0.0002752535287453,2.7215423388191886e-06,0.00010952754896330913
An older brother and sister,1.85688772999841e-08,5.148054142382459e-08,7.879206607745791e-10,1.9611818416867045e-08
An operation,7.74800521727555e-06,5.843521247446805e-05,1.732222361321928e-10,1.862111657610829e-05
Analysts,0.014078189986511577,0.0549888350069522,7.598967621508853e-05,0.02127738932656445
Anapa,1.0082815188500042e-05,6.10545928102519e-05,4.36404001994931e-08,1.9330818543045637e-05
Anatolia,0.006829255542077325,0.0345246459005146,2.576184834438784e-07,0.010530639144344527
"Anchorage, Alaska",0.0022506796727686964,0.0110677301926431,7.42279595562003e-07,0.003793568385366949
Ancient Egypt,0.005086318480597173,0.0326819320772804,2.759619272669256e-07,0.010217165775344875
Andrew,0.09675203869410322,0.5264995694160461,0.0002574607788119,0.15892398578265918
Angelica Balabanov,1.2930928315103493e-10,4.4651807822546903e-10,3.5330864188537694e-13,1.8237112640669736e-10
Angels Fall First,1.8296240045268486e-07,1.2647466074830209e-06,1.2096349146278528e-12,4.0934816160077516e-07
Angola,0.04387342704576436,0.2493151724338531,0.0003703644615598,0.07665349294797451
Annaghmore,1.6750376910431407e-05,0.0001487198566105,6.7565981107313e-12,4.6478435323707364e-05
Anne-Marie Mediwake,7.272660073554188e-09,4.6894410574041026e-08,1.8596380161980725e-12,1.4640423447388944e-08
Annette Lu,1.8392901393193556e-06,1.4072119747313751e-05,4.817537630724743e-11,4.425312288012758e-06
Anniversary events,7.115307157137913e-08,4.786112461721174e-07,1.011177698655008e-10,1.4868590571226745e-07
Antoninus Pius,0.0017521586805229691,0.0057646073621121,6.429213798886737e-07,0.0018997647351587394
"Antonio Novello, whom Mr. Bush nominated to serve as surgeon general",3.0577665153232003e-22,2.9948243473618947e-21,6.60622614858411e-25,9.448698181994434e-22
Antwerpen,0.000653774856074106,0.0035691363141632,8.493777925479553e-07,0.0012125671640996604
Apptix,8.99924658492475e-09,1.968217504845096e-08,6.07895608694482e-10,6.1858608204129905e-09
April,0.05348699657000675,0.4614576697349548,1.3662441915585075e-06,0.14483511312325806
Aqeel,8.232772411797437e-09,3.4611362227937044e-08,1.698659017224081e-10,1.2563837746262364e-08
Aquino,0.002875442127883523,0.0169967992344648,3.044928976301546e-10,0.005379208317730078
Arab and Persian,1.5038967303460995e-06,6.422631359123611e-06,6.401584915497524e-09,2.2622924851035215e-06
Archibald,2.1242528311961426e-06,9.024920841245371e-06,1.868782029849456e-07,2.8558886059822136e-06
Archie Comics' characters,7.350630160715562e-09,3.611276818933583e-08,9.162912377894516e-12,1.502980343765247e-08
Arechis I of Benevento,7.30644279176035e-12,5.1408529249345606e-11,2.924046229243312e-23,1.616570136113186e-11
Argentine authorities in Comodoro Rivadavia,2.0740213534156052e-17,2.053063324520896e-16,5.927165822459985e-21,6.485047914491459e-17
Armor for Sleep,2.144152492256327e-06,1.84574634066879e-05,1.1093913444406822e-14,5.754492595229512e-06
Arthurian Legend,0.0003115326851846587,0.002623439781375,6.390429403935546e-09,0.0008194466512135085
Arua town,5.265584424600018e-09,4.5416676770853436e-08,1.941423099669769e-14,1.4282484509529672e-08
Ascot Park railway station,1.1029503349141471e-11,3.654231897408347e-11,4.187503971141072e-14,1.1167376383693252e-11
Ashfield,2.2982424738252173e-05,0.0001687226498919,4.546241290208612e-07,5.333551456414226e-05
Ashley Judd,3.7313117047427604e-05,0.0001412139442082,4.984177244156353e-07,5.4433510367217684e-05
Asia,0.09639867688529188,0.3833451867103576,0.0016315574757754,0.14647142570205407
Asian Football Confederation (AFC) President,9.487237531135515e-08,5.475804172379927e-07,1.275982111178575e-12,1.7411583534593003e-07
Assistant Secretary David Mullins,1.599141514013416e-10,9.019940491194504e-10,1.8419350782605312e-12,3.202043343460299e-10
Athens,0.08232332282059354,0.3176232576370239,0.0003169558767694,0.11585962311710678
Atkinson,1.1737664321796208e-05,7.385971122343682e-05,3.893505492444674e-07,2.3556084648716967e-05
Atlantic salmon,0.0005136663945906335,0.0018721321077092,8.34806362639908e-07,0.0007653414851275795
Australia,0.13823345918208357,0.5394946336746216,0.0096597149968147,0.1549396240991218
Australia's Asian policy structure,3.057732502621216e-14,2.73177494220046e-13,3.754853608539533e-16,8.530573978682375e-14
Australian and New Zealander soldiers,2.9312970562430628e-08,2.421343533870587e-07,1.3945795532327744e-11,7.544324377960071e-08
Australian dollar,0.019239951839912114,0.1345015807777372,5.801098879879146e-07,0.04373001987337282
Australian football,3.8365167656679944e-05,0.0002136226774684,2.472868572970589e-08,7.099781147982076e-05
Austrian and international films,2.4108538977647184e-11,2.1614999389759732e-10,1.1821239797380152e-14,6.77627442717616e-11
Automatix,2.0806546275741473e-07,1.6462581749453609e-06,4.634675600580982e-11,5.071847502338031e-07
Awadh cuisine,8.362706088710086e-09,6.682968624955811e-08,1.5291227763759057e-12,2.1042634677295493e-08
Axa,0.00019342968219084687,0.0011567194069699,2.8071685626224465e-07,0.0003641144155558194
Ayub,0.0011855759222826159,0.0090223994257299,4.407638342830675e-10,0.002843290230732216
Azucena in Verdi's Il Trovatore,5.186001974342813e-10,5.02838302078125e-09,1.51987886646273e-16,1.58471446917677e-09
Azure,0.01649999895598736,0.123953677713871,0.000276421138551,0.038007686963379216
BC,0.031079344310637625,0.1771045178174972,3.915005436283536e-05,0.053698105044384034
Baba Hari Dass,1.4798341701494223e-08,7.956700861811958e-08,6.251651146048847e-13,2.6610802605902188e-08
Babylon,0.24291731985285875,0.804446816444397,0.0028968318365514,0.2705687308425482
"Bacteria in the urine, especially gram-negative rods",1.9547382517983372e-13,1.8117151712336279e-12,4.327606608311941e-18,5.685663366063311e-13
Bae Yong Joon's KeyEast Entertainment company,3.0265630862436743e-19,1.7718280326531086e-18,1.5405136238495922e-27,5.608878484245408e-19
Balys Dvarionas,1.1665412666160643e-08,9.827650792192833e-08,1.7065318930722604e-16,3.056813645964643e-08
Bam Margera,0.001873075378936846,0.0180697845672517,4.979852422851974e-09,0.005692775680800384
Bandra in suburban Mumbai,1.2351432342651926e-10,7.604586946347935e-10,5.111018999713328e-16,2.402692974243169e-10
Barak,0.0023526324535293503,0.0056786534609363,0.0005545489183181,0.0015785228626424956
Barbados and the West Indies,2.412111264680874e-08,2.1482305939532297e-07,7.456949496223959e-11,6.72674389979349e-08
Barney,0.0012178209522971403,0.0042810752056539,8.483716374030337e-05,0.0014365977982943748
Barrow,0.00014731180648792382,0.0013230586625288,7.114120162625118e-08,0.00041403977086639806
Barry Mann,0.0007381390697997928,0.0040949499733237,5.588947304705058e-06,0.0013037479160990654
"Battle of Antietam, in which Union troops turned back a Confederate invasion of Maryland",5.67211891445265e-17,1.7704394786072358e-16,7.502270799051247e-20,6.193514375363897e-17
Battle of Jutland,0.011509703334304643,0.0262846836661155,1.7435236509682893e-06,0.011138421432826161
Bayern Munich of West Germany in the European Cup final,1.113699743646241e-15,6.63097903019384e-15,2.4564726652372707e-18,2.012838482737568e-15
Bayreuth and Plassenburg,1.814277390524219e-09,9.645642947065256e-09,2.3345263721026928e-17,3.834223333343853e-09
Bearings taken by Pan American Airways stations,7.645260233849407e-14,5.83946438190201e-13,4.4584769344609826e-24,1.8159440656649032e-13
Beckie,1.4695706017433748e-07,7.527593960019146e-07,2.045193569483995e-09,2.512226329277888e-07
Beijing,0.18081382838354326,0.4078070819377899,6.408261106116697e-05,0.190115143209666
Beijing West Road,1.0404934161337047e-07,4.411768706590542e-07,6.312197000794137e-11,1.7443528232228794e-07
Beijing's austerity programs,7.286720978685142e-11,6.913137172097656e-10,7.948405087878222e-16,2.1737503866776378e-10
Belfast Car Ferries,1.237167559411651e-08,1.1567959917612197e-07,3.56773033225107e-16,3.637834896586544e-08
Belgaum district,2.595989187816123e-10,1.5821363731139124e-09,5.5857349597884536e-15,5.5305067893191e-10
Beltran Leyva leaders or operatives,1.0347966164110436e-18,6.3006472751324804e-18,6.941031717951805e-24,2.156132576533331e-18
Benjamin Netanyahu,0.03438921634735675,0.2205207678638823,5.2669827287508335e-06,0.06811649185066776
Beruni,2.0542420841470676e-07,1.1582925755959913e-06,7.462891934691436e-11,4.2884478514255047e-07
Besson,1.2779820359592693e-05,5.122296539882476e-05,8.135944034619637e-08,1.5440614440059492e-05
Best Player,0.0002381896015208368,0.0018508767658509,3.472602881849115e-07,0.000570254983678205
Betsy Engelken,1.0669350719033266e-13,5.229380894178696e-13,2.658992541623311e-15,1.6073642494927088e-13
Big Show,0.0007191690941306138,0.0055362295545752,2.807167644532549e-06,0.0016995854520947215
"Bill Laswell, another electronic adventurer",1.7298721799186801e-15,1.1919712042237035e-14,8.055168607080994e-19,3.664347944416831e-15
Bin Laden financed the attack and assigned one of his top assistants to supervise it,5.119295823478909e-28,2.0133148198275583e-27,1.3541681921225609e-30,8.047268369363376e-28
Binaural,0.005572319017142931,0.0220226897059779,9.299281439441832e-05,0.008331621019438028
Binod Kumar Singh of CPI (ML) L,1.4666946309496196e-15,1.1745603389598044e-14,3.2004236990753893e-27,3.656162277638383e-15
Biological patents,1.3764843390530898e-06,1.1392853128693926e-05,3.1860701540073136e-10,3.583080799345877e-06
Bishop of Charleston,3.413276039899319e-05,0.0003407952290987,3.1224665282275004e-11,0.00010775027589736534
Bishops,0.0042759110303730915,0.0144326461705635,5.730575208201527e-05,0.004861315031859496
Blachut,9.994943318177801e-11,6.579487672438936e-10,6.754897752388292e-13,2.039335713959273e-10
Blackmore replacing Edwards,6.681711278373796e-13,6.675613687077022e-12,1.178409817747469e-19,2.1108007617428655e-12
Bloordale Village,7.016168370380287e-08,6.993906816083335e-07,7.331425394278239e-14,2.2108961031653004e-07
Blowzabella,7.444694113452972e-12,2.9399039069074794e-11,2.4096248669868043e-13,1.0623977092907772e-11
Bob Fosse's snake looks and moves,6.584781495811145e-19,3.799380780765564e-18,5.314785375189843e-22,1.2476267710714083e-18
Bohemia,0.0248095832565946,0.123750696103063,3.616014275461903e-05,0.040646685218531105
Boise I,7.326771321641753e-10,3.625383750507899e-09,1.6955711968210433e-11,1.298772419350215e-09
Bolton,0.0003610034782354704,0.0021818492095917,9.914914471664815e-07,0.0007213224177850802
Bonar Law,4.22186788727489e-05,0.0002119500874222,1.413614419177139e-09,6.897184149839827e-05
Book,0.00567237182985985,0.0141946235671639,0.0003175090532749,0.0050645148028060525
Boston,0.07132684272073672,0.3329640328884125,0.0001412957499269,0.10551844707751373
Both platforms,4.418334096141069e-08,2.404436895058284e-07,2.9406021488336003e-10,7.38836324255627e-08
Bradford,0.006550063223141921,0.0450425893068313,1.5350339026554138e-06,0.014943825704993596
"Brain cells producing other brain chemicals such as GABA, norepinephrine, serotonin and acetylcholine",3.3834544196037754e-23,3.342023070709743e-22,9.208398021727556e-27,1.0554139463357474e-22
"Brazil, which witnessed five military presidents",4.331319660262501e-18,3.4610014632773e-17,3.382427896457214e-23,1.080596751712447e-17
Brennan,5.3362263258804886e-06,2.1692098016501404e-05,2.646482357704372e-07,7.084296828924767e-06
Bridge,0.01241515630754289,0.05546635389328,3.094362182309851e-05,0.01867670005029691
British Airways,0.0026107954080672497,0.016975579538403,4.087004116723079e-06,0.005385875021076655
British overseas territories and overseas possessions of the Netherlands including Aruba and the former Netherlands Antilles,3.1667560334302724e-26,2.6809042012497604e-25,9.624668146625267e-31,8.435360394558157e-26
British success,2.38012337609668e-08,2.0076104035540229e-07,2.785188909014724e-11,6.299883826133857e-08
Brown,0.0008064937122980838,0.003485940163955,5.246100772637874e-05,0.0011403954161309992
Budd Company,6.588650382105926e-06,4.905823652599784e-05,1.953239574279773e-09,1.5383976036956262e-05
Buddha,0.01759785935464602,0.0847797021269798,5.307757601258345e-05,0.027256171166592957
"Buffalo, New York",0.0011399182765483482,0.0062722493769026,4.057468517533738e-06,0.0020521140900708387
Building,0.002767605626195247,0.0103135025128722,7.800065759511199e-06,0.0037005546147094036
Bush,0.017354865889046743,0.0756849348545074,5.712838628824102e-07,0.028356414681663115
CBN,0.0013292792720397848,0.0120242734726896,1.8178470837791957e-08,0.003769247503460406
CBS,0.12182766203186471,0.4734981060028076,0.0003833569935522,0.1848508819467768
CEO,0.1660258535327557,0.4823914170265198,1.22106021080981e-05,0.1931724238331984
CFB Trenton,0.0011114114779407877,0.004913132187357,1.387767696848522e-06,0.001464052966802386
CIA,0.0880475877813296,0.2384379059076309,0.0002490221813786,0.09393695058176109
California,0.026061270021455085,0.1979993730783462,9.210668940795586e-05,0.06133992620696433
California's roads and bridges,2.3405933586956845e-10,2.2135686684702e-09,1.5081569074219602e-13,6.957587750928504e-10
Caloundra in southern Queensland,6.615777073372438e-12,5.443379755946423e-11,1.2654772631678372e-14,1.6943233114065806e-11
Camp Morton,2.1248536227119403e-05,6.698030645700074e-05,4.940185289706893e-09,2.639910183199845e-05
Canada,0.0911050167691428,0.6955031156539917,0.0006124448846094,0.21772640529664533
Canberra and Melbourne,8.860552337202208e-06,8.176281540652302e-05,4.0071670725413067e-13,2.566952490335003e-05
Capri,0.007021292145286484,0.0461107226619272,1.2000127678559475e-06,0.01562447057584008
Carl Edwards,0.0036137602762044696,0.0267967032791418,2.0789673970026717e-05,0.008171766841060833
Cartan,0.0017943182519438432,0.0125961898758777,1.401633075626043e-07,0.003883011661000538
Castle Harlan,3.995840955769419e-10,2.889330628921246e-09,1.0894276875126011e-11,8.836117097139143e-10
Catholicism,0.0015012343031579794,0.0107914246230502,1.0177566213464211e-06,0.003371822543923126
Catholics,0.0015542697104137487,0.0046817082911729,1.0137930985365529e-05,0.0018144252685896199
Cerros de Quiman,2.7172262658966442e-15,1.6400132433200116e-14,3.0132605442729232e-18,5.033735736619296e-15
"Charles II, Duke of Lorraine",1.5053823970793723e-05,0.0001444957839824,2.852413245185835e-09,4.549691421274699e-05
"Charles Mudede of The Stranger said ""It",4.004197003970155e-21,3.6876217031260086e-20,2.4442856932427463e-24,1.156105221272437e-20
"Chattanooga, Tenn.",1.2296261373044705e-06,7.254337414380651e-06,1.361482494447237e-09,2.2337142847826314e-06
Chaucer College,3.3454473774887894e-07,3.017185461021703e-06,2.2400884543378842e-09,9.432904965119288e-07
Chekhov,0.022096885111605458,0.1625854768971802,4.719360027173544e-06,0.05055249816653085
Cheltenham College Junior School,1.7468735943748647e-12,6.7314452980491936e-12,1.9091631556925184e-15,2.3708760134774167e-12
Chennai's first match of the tournament,4.382509990585272e-15,4.138507773453547e-14,4.956683388389142e-18,1.3011995676735984e-14
Cherokee County,6.992870951185103e-06,4.754102868158392e-05,4.1901955243266604e-10,1.571500276367154e-05
Chicago,0.21365730563993562,0.7351921200752258,0.0007305058534257,0.2748247522193892
Chicago's south side,3.8721358720762326e-08,3.143445620196534e-07,5.947350426042571e-13,9.815228998295093e-08
China,0.12085883726831521,0.3665266335010528,0.0034442723263055,0.1223396983764547
China II as the villainous General Lan,2.626097265779163e-22,1.5456382218155474e-21,2.921184986274118e-25,4.813745358408291e-22
"China's top political advisor, Jia Qinglin",3.675405518087063e-16,1.2923571480587613e-15,8.047902876006037e-18,4.896777232880102e-16
"China, in recent years also introduced a production line of pre-separating kilns, constructed large scale",1.1045739700231682e-34,1.1045739700115801e-33,1.7498943033271982e-47,3.4929695893670456e-34
Chinese exporters,5.368736018268918e-06,1.8310869773175902e-05,1.3027500124189341e-09,7.2269534446972814e-06
Chordeleg,4.8923376094476435e-09,4.822159676268075e-08,9.33321041981826e-17,1.5225917523447912e-08
Christine,1.824904770728608e-05,6.278058572206646e-05,3.023931185452966e-07,2.1558685414436206e-05
Christoph Willibald Gluck,0.013626535506562764,0.1251543335834371,2.620074990492554e-06,0.03925390639382816
Chrysler,0.008789251504367667,0.0412689298391342,5.440680070023518e-06,0.014563327071543532
CityRail,3.11760159284905e-05,0.000309669612628,1.2264212856412697e-13,9.785308341461502e-05
Civil Aviation Safety Authority,0.026444459171403627,0.1246975768704313,2.593153387798172e-06,0.04158427474455914
Civil War,0.03405209454904943,0.1057175500595608,0.0005635663432558,0.03536156686010339
"Cleethorpes, North East Lincolnshire, England",1.4362881283170648e-05,8.183610685755752e-05,1.4545411983623128e-13,2.5722388764066843e-05
Clement Desessard,2.2928801845137048e-17,9.056141512128915e-17,1.1765381073566181e-18,2.7174876219804925e-17
Clifton Williams,3.224923824114094e-07,1.2553242221783424e-06,2.1997875896210947e-09,4.994365162723125e-07
Clinton's visit,1.50324356019951e-07,7.711943804158781e-07,2.9871997268367893e-10,2.519527081493351e-07
Clopidogrel,0.005141334130256489,0.0374201706301606,1.6663391373313995e-06,0.01154164188049753
Clube Atletico Paranaense and Democrata Futebol Clube,4.1928047382635287e-14,2.189860430571211e-13,8.266560058857678e-21,8.197122083207343e-14
"Clube Atletico Taquaritinga, commonly known as Taquaritinga",1.0651586036807926e-11,1.0651585593807335e-10,1.7676917038634962e-24,3.368327101301377e-11
Clun Forest,2.03489426903663e-12,1.8328913214823108e-11,9.766782942650652e-17,5.732293253036867e-12
Col de la Madonne transmitter is a very large broadcasting centre,1.7206833864904197e-32,9.11211520607524e-32,2.044075485627459e-34,2.8575669496041354e-32
"Cole Porter, her first being",8.777302653691595e-14,6.739828238140439e-13,1.923595698875844e-18,2.0876226597699797e-13
Collie and Dardanup,3.242207280689767e-15,3.145352642890646e-14,3.150663465304634e-26,9.91711935025787e-15
Collier's Weekly,1.6258828360434456e-06,6.43648387126925e-06,3.567435962559883e-08,1.931176450124189e-06
Colombo,0.06960500744268641,0.692268592148082,1.948522177385969e-07,0.21878482176044234
Comments on the Peak of Eloquence (Sharh Nahj al-Balagha'),1.8718204425765678e-30,1.039285374438386e-29,1.3109729318197222e-38,3.198083480946814e-30
Common examples,2.100224425593999e-07,1.005016597032662e-06,2.9187161334978013e-08,3.075921771425749e-07
Complutense University,0.00023371451264228435,0.0017801386307862,1.1412629265717159e-10,0.0005565030187474118
Comrade Putin,8.862375582786749e-06,7.876191548158679e-05,2.1090460841645556e-08,2.466970531951613e-05
Confucianism,0.026478608714250413,0.1264660883696871,2.336690075323485e-06,0.040288274759456
Convent Thoughts,1.9523464897115176e-10,1.951949140051357e-09,6.6340925245105355e-16,6.17246557628734e-10
Coogee,0.00019449692562548566,0.0012757079235037,2.998045271031505e-08,0.00040922616801222073
"Copenhagen, Denmark",0.011977980730355999,0.1069525152783061,3.9556689898114665e-07,0.033418781918139344
Cosby,7.88079650316475e-05,0.0004083716776221,3.8095404164550934e-08,0.0001351561478687249
Cosworth,0.00043483036426249206,0.0031610025465648,3.233710166553142e-06,0.0009648405870167026
County Durham,0.0007560745971722671,0.0023033597996595,3.279934002659034e-09,0.0009004286949081314
