Entity,average_probability,high_probability,low_probability,std_dev_probability
A prosecutor,0.00023447281527951783,0.0010736801358049,1.133590327909069e-11,0.0003600898222404419
A second Jordanian official,3.492349968601637e-08,2.82450106413798e-07,1.4537989134680218e-16,8.845280834408765e-08
A six-month-old girl,2.5667417602647305e-17,8.927622622386405e-17,6.875687371027779e-27,3.905413882706905e-17
A sixth person,1.5380580284928556e-05,8.775535597239706e-05,1.1105779004860812e-14,2.8914558135993682e-05
"A spokesman for Gulf Canada, which is controlled by Toronto's Reichmann family",1.669196323480084e-40,1.3136818954579788e-39,1.2148875958801674e-51,4.1067452381224834e-40
A team of US Air Force experts,6.740721415744619e-07,6.701736681291024e-06,9.577000994054278e-26,2.117917109743403e-06
A top Iranian reformist from a banned political party,5.838519238134288e-18,5.0835580033224804e-17,8.410314960366422e-46,1.5919589923409462e-17
A year,6.591805343682181e-08,4.6902293601840556e-07,1.1482282888947592e-11,1.4326284275387948e-07
AARP Insurance Plan American Association,6.816051639549927e-17,6.557773572496476e-16,4.946414392062942e-39,2.0653064609343542e-16
ABC Family,7.798785881219248e-08,2.199084169230434e-07,7.372755976109845e-11,9.071164634491855e-08
ABC's John Martin,1.1375449521851665e-14,1.0051392035147017e-13,2.936373457041155e-22,3.1425800156876726e-14
ACC referee Ron Cherry,7.467319098987693e-15,7.466542072710217e-14,3.1681562534866335e-33,2.3611006220433664e-14
ACT headquarters,1.3038879031945441e-09,1.2641792552080274e-08,1.3387114042485204e-13,3.984590223923698e-09
ARM architecture and List of ARM microprocessor cores,1.6285351559207578e-22,6.025877378684489e-22,5.9896017039985545e-25,2.179527260804856e-22
Aba Lujayn,8.995428546126005e-27,6.36440378644355e-26,2.3309622690976708e-31,2.007235172515243e-26
Abba-Zabas,1.573867008259647e-29,1.372625129425352e-28,1.4619891389200977e-50,4.294043489363131e-29
Abraham,0.004962942798976681,0.048671294857103,1.0859318467465803e-11,0.0153588570052114
Aceh governor Irwandi Yusuf,6.95205724316584e-36,4.432300520915759e-35,1.0252231805113498e-48,1.4406514530177772e-35
Additional Resources The wikipedia,6.286290200360871e-12,4.597070361634822e-11,2.918514063992431e-22,1.492002374170683e-11
Aden,1.0948376318568089e-14,2.557775168242104e-14,7.598308232601067e-16,8.926198632225997e-15
Adkins,1.3898766794750086e-09,9.354575995714427e-09,5.995560887614513e-13,2.9888481795562224e-09
Administration officials,1.5683573951254786e-08,1.46748043361185e-07,1.787455517598784e-13,4.612536175878451e-08
Aerosmith,5.077121752593567e-09,4.936086301968366e-08,3.090570341325511e-23,1.556581870716506e-08
Aetna,6.8291655657935e-08,6.119425621239011e-07,6.316130015972664e-13,1.9154319611749306e-07
Afghanistan,0.0002911717346560332,0.0012395829464337,4.538348609727727e-23,0.000505662433059155
Aftershock,6.521980811682711e-09,5.996500702538904e-08,2.940009424200804e-17,1.878891754855154e-08
Agatharchides,1.0286525691758294e-17,5.561752726226657e-17,4.825284146564128e-20,1.9975696420977298e-17
Ahmadinejad,2.6614788238941467e-11,2.6288270489443876e-10,2.312620549482047e-25,8.302205143733278e-11
Ahmose-Henuttamehu's mummy,8.909579503084724e-53,8.894508058467504e-52,1.3767119699605611e-64,2.8121629182895726e-52
Aizutakada,1.4341866750328252e-28,5.932669582250704e-28,6.580640052615872e-33,2.2883881779272844e-28
Al Gore,0.0019141085165959924,0.007837965567403,1.5915524444328086e-09,0.002957478231882085
Al-Dhahabi in his Talkhis al-Mustadrak,1.9484201592081777e-57,1.2941026695911496e-56,3.177454818707052e-73,4.308519837371465e-57
Alan Bean,8.471470096131281e-05,0.000715986748138,3.043047575907285e-11,0.00022544822379479178
Alan Cohn and Bobcat Goldthwait (the latter previously worked with Brown in Medusa: Dare to Be Truthful and Shakes the Clown),1.0864320344915025e-86,1.005851714483257e-85,3.774100544589479e-131,3.1601547169914187e-86
Alang,2.4783810097198567e-10,9.893862567484383e-10,2.0061642175081543e-15,3.5805436348308866e-10
Albany County Republican Chairman Joseph C. Frangella,3.290268609001945e-38,3.189322207983862e-37,4.8783693038212205e-49,1.0051671100089294e-37
Albert Finney in Sidney Lumet's crime drama,9.924200968414935e-20,8.7670668903379e-19,2.297462548296296e-36,2.754882868397753e-19
Alberta Party supporters,1.7483556469826095e-11,1.0625250465480776e-10,2.4942669099444797e-18,3.675385160114404e-11
"Aleksandr M. Prokhorov Shared the Nobel Prize in Physics in 1964 for, respectively, semiconductor lasers and",2.680840345923363e-53,2.625461420452899e-52,1.4714676638773586e-64,8.283755019529849e-53
Alex Webster,3.672244880559348e-08,3.6675567338185353e-07,5.48205252062803e-16,1.1596189874004654e-07
Alex Wharf,3.623044914313352e-11,3.5254368427457354e-10,1.4643507271297653e-18,1.111614339698584e-10
Algeria,1.6683610509039575e-10,1.3821482276094499e-09,2.559361837454908e-20,4.329944213026788e-10
Ali Duba,6.807188778818814e-13,6.6037025018544655e-12,3.2477135732925645e-23,2.082084698133001e-12
Ali Hewson,2.003462978392918e-12,1.878951147821311e-11,1.5439274313292631e-19,5.902507197573453e-12
All of their friends,1.7456697331477716e-09,1.6690717889332048e-08,1.0152290520080222e-17,5.2547227959767125e-09
All the players,0.000799209929151477,0.0028882552947792,1.420402016057762e-10,0.001127744496356813
All three men,3.017108991088539e-05,0.0001110874819969,1.656201082851293e-13,4.126115847883005e-05
"Amblypygids, particularly the species Phrynus marginemaculatus and Damon diadema",1.3724814336170023e-109,1.3668450194265208e-108,5.5273703248112255e-143,4.320399346397308e-109
American,0.012158227851534047,0.0826137140393257,3.997967468194474e-08,0.025732843062548565
American Gangster,1.378501452930822e-06,1.240082768265077e-05,2.3871174741117627e-14,3.882104369127185e-06
"American Sign Language, or ASL, for a time",1.0598402678668591e-23,1.0582713870324386e-22,1.3484315990558548e-34,3.345997630128719e-23
American Telephone & Telegraph Co.,9.394388263314576e-12,8.65738912106377e-11,1.2599460852105758e-25,2.7143779200873596e-11
American Wrestling Association,5.743121079341061e-08,3.929891253853527e-07,5.650434101028126e-16,1.2119162201242867e-07
American aid efforts,4.097441778204172e-06,3.681531813039579e-05,6.670098362656296e-22,1.1534204621220121e-05
American historian,0.0048972472435763505,0.019842949021565,1.0083289213169558e-06,0.006549737916315928
An AT & T representative,7.739943055922719e-06,4.933916156488741e-05,7.92236823835337e-24,1.6661763528884336e-05
An Italian foreign ministry official,1.0316356841243368e-05,8.595074855808099e-05,2.2481859046133402e-08,2.679918004966762e-05
An Itinerary,0.0003236552971559011,0.0012781734718961,6.444337264202909e-11,0.000502378630351367
An older brother and sister,2.319691597076007e-06,1.153228612546731e-05,2.2828028972837324e-15,3.6632182637969125e-06
An operation,0.0023009900505484874,0.0165383687067151,4.676750183749722e-12,0.005287224670337208
Analysts,0.001060004999620178,0.0104063156957806,3.1401923503405255e-14,0.003284521846396528
Anapa,1.7006045246776125e-08,1.25310372724116e-07,3.855369084807632e-14,4.033180619227496e-08
Anatolia,3.2288375617363676e-11,2.1304651264646456e-10,4.353487310468753e-15,7.142092735291045e-11
"Anchorage, Alaska",9.866561022076356e-09,8.878487191222733e-08,5.259452308410625e-22,2.7901590883468254e-08
Ancient Egypt,8.786370762510067e-05,0.0006988226004132,2.493537670985418e-11,0.00021954030146500568
Andrew,0.29037618043088287,0.987385392189026,1.4671365988760956e-07,0.34222276896488757
Angelica Balabanov,2.2640377173320703e-24,2.2512623442677512e-23,5.883609414777236e-36,7.114741024212393e-24
Angels Fall First,9.224609535482633e-16,8.726596071097732e-15,4.0641011566838017e-42,2.7465534717039796e-15
Angola,1.4354322588500172e-06,9.56126939658376e-06,5.067173784509367e-15,3.0685602586063974e-06
Annaghmore,2.147452571378848e-14,1.005171247995421e-13,2.5141820671507432e-24,4.098350974197801e-14
Anne-Marie Mediwake,8.478052780743207e-29,3.304674206244628e-28,4.267195990440628e-35,1.2672371534450696e-28
Annette Lu,1.0343460325950467e-09,1.033470409218746e-08,1.7736976506595122e-16,3.267813028404859e-09
Anniversary events,9.016515441015167e-09,9.016498682247085e-08,2.3335852280393376e-18,2.851266646739354e-08
Antoninus Pius,1.2990027800601785e-13,8.784874618605981e-13,2.2852296230931587e-20,2.825297695661164e-13
"Antonio Novello, whom Mr. Bush nominated to serve as surgeon general",1.6871881184730192e-46,1.4589196986168326e-45,6.845870376869611e-68,4.589289359213197e-46
Antwerpen,5.60219473679025e-07,5.580744913945318e-06,5.806740527940719e-14,1.7640452846227783e-06
Apptix,2.970635337314172e-14,2.43544928229498e-13,4.626294663479563e-19,7.541079668192281e-14
April,1.816498315232451e-06,7.43832606531214e-06,9.670787726179242e-09,2.866485739859101e-06
Aqeel,2.397230315385985e-16,1.4855276585470069e-15,3.3378459105930227e-25,5.092928518285645e-16
Aquino,8.898566199027327e-11,8.893002393417948e-10,1.2060172011243032e-16,2.812018936328673e-10
Arab and Persian,0.0001562266650429871,0.0008217045690214,7.526582391504296e-10,0.0002638291479569008
Archibald,1.4118222671586045e-13,1.3458581644772777e-12,4.256017510498951e-23,4.2377143453897784e-13
Archie Comics' characters,1.0430933188097917e-15,7.004278971274971e-15,8.2978099171051e-20,2.162838175290822e-15
Arechis I of Benevento,3.296785714442572e-25,2.097744053827497e-24,3.7995685979688385e-35,7.184980770779812e-25
Argentine authorities in Comodoro Rivadavia,2.6326484245526406e-34,8.625318958397793e-34,2.0243191827995485e-36,3.5295609708592062e-34
Armor for Sleep,6.313017192558308e-13,6.289472792084255e-12,3.101131919690334e-23,1.9880839564748774e-12
Arthurian Legend,1.3251183721637319e-11,9.7942711113989e-11,1.2834398191005044e-14,3.0590136819822307e-11
Arua town,1.2324290205885928e-13,1.2283851912762102e-12,6.960511527487709e-22,3.883079773892548e-13
Ascot Park railway station,2.8911176147902783e-18,2.891100003958813e-17,3.444005640941632e-32,9.142454768042744e-18
Ashfield,2.4277430893293956e-12,9.288654322852455e-12,3.0504449831539564e-14,3.110952054613343e-12
Ashley Judd,2.9630700429588037e-10,2.96016398169969e-09,3.148930028330921e-15,9.359840618382722e-10
Asia,0.0028798929713358787,0.0287971924990415,7.54813633818685e-09,0.009106410813969385
Asian Football Confederation (AFC) President,2.566515722239244e-16,9.736252590937722e-16,3.424156557934625e-21,3.6418313569361163e-16
Assistant Secretary David Mullins,9.517305977434382e-18,3.5346441320075467e-17,1.628261235303099e-23,1.2927717042464522e-17
Athens,6.339563073680215e-11,2.7759494333030044e-10,3.544521107561611e-13,1.1333080487899401e-10
Atkinson,5.831126316472231e-08,2.1525473655409973e-07,6.310306691649758e-14,7.627674615162215e-08
Atlantic salmon,6.930493333349932e-09,3.2260045943600954e-08,8.267704835653301e-11,9.697665634990744e-09
Australia,0.007970571139568937,0.0544884800910949,9.688935165286241e-08,0.016993421677456086
Australia's Asian policy structure,1.1731144795684391e-14,7.154820015899247e-14,1.0712709420960374e-21,2.281069856192425e-14
Australian and New Zealander soldiers,5.332634748726727e-11,4.988299354234399e-10,6.338095644196573e-16,1.5672519655549787e-10
Australian dollar,1.962323525066076e-06,9.752755533980618e-06,3.904833450731645e-12,3.954801883568373e-06
Australian football,5.3012398152638544e-05,0.0002770114392992,3.248914951221769e-10,0.00010159577229142712
Austrian and international films,7.686181844170395e-17,5.141725045677827e-16,7.702497238129936e-24,1.6234890085998672e-16
Automatix,1.9183176326081077e-12,1.1098436334125504e-11,4.123293135014706e-19,3.7851807138898406e-12
Awadh cuisine,6.12499106484803e-11,6.115171903082856e-10,8.627789808231782e-17,1.9334445643599187e-10
Axa,1.7700423183759994e-06,1.7057931918177836e-05,1.4333912427469036e-16,5.372433253247228e-06
Ayub,1.8287551412051385e-07,1.6095507869694908e-06,2.919390690771414e-11,5.041836664912817e-07
Azucena in Verdi's Il Trovatore,9.738949732081325e-32,9.722110921680056e-31,1.1039584316970554e-55,3.0738122524469416e-31
Azure,3.5380721251068426e-09,2.2101148600341912e-08,1.2920183528233094e-13,6.776758676799968e-09
BC,0.0008878555152501518,0.0085170892998576,8.051379007945059e-11,0.0026816003912510824
Baba Hari Dass,5.854205093815509e-22,5.668721308046517e-21,1.045199898914293e-34,1.787008571668492e-21
Babylon,4.159609721338285e-17,2.210628423944011e-16,1.49772568310756e-19,6.914714261171431e-17
"Bacteria in the urine, especially gram-negative rods",9.003341071643786e-29,7.589613350098169e-28,9.951904347682525e-51,2.3728182282506454e-28
Bae Yong Joon's KeyEast Entertainment company,1.0935621993531046e-35,7.11097664317918e-35,2.446881988239492e-40,2.35610628524362e-35
Balys Dvarionas,7.445054771279142e-29,2.930403176225314e-28,2.2135309323254116e-40,1.05840277077867e-28
Bam Margera,2.538992784680624e-19,2.538860838168376e-18,1.5389595786343504e-27,8.028536551547029e-19
Bandra in suburban Mumbai,1.3368252751024611e-11,1.1087767532039195e-10,3.556990825008384e-23,3.486819238862642e-11
Barak,5.3843971480146415e-05,0.0005384155696589,4.4981482620374534e-18,0.0001702611045149311
Barbados and the West Indies,2.0996391611805305e-11,2.0561499490609287e-10,2.7113682183378783e-26,6.488276148285675e-11
Barney,4.975811280276203e-09,4.681043169082859e-08,2.863393488163449e-16,1.4707989624346898e-08
Barrow,2.5929083986243536e-07,2.2183969038328097e-06,2.5297513172174402e-14,6.934280058106365e-07
Barry Mann,1.6074777096626037e-12,1.2679781679622396e-11,6.677858762034311e-15,3.989882684259046e-12
"Battle of Antietam, in which Union troops turned back a Confederate invasion of Maryland",6.494451437806911e-23,6.493762260739265e-22,4.4562240191535737e-32,2.0534837253301064e-22
Battle of Jutland,1.9831631958062997e-13,1.1536758988121049e-12,1.2428386951260194e-24,3.800011145640238e-13
Bayern Munich of West Germany in the European Cup final,2.463178299393942e-21,1.3280022955539963e-20,1.2479288769607773e-25,4.2919700457903045e-21
Bayreuth and Plassenburg,8.31459542412064e-28,4.4109544438143756e-27,2.610343120661629e-43,1.6439614513001888e-27
Bearings taken by Pan American Airways stations,1.6772554726825901e-25,1.6648474762876466e-24,1.1507938416505133e-44,5.260416861416269e-25
Beckie,1.025730124106825e-09,6.033810759807941e-09,3.3518570730523124e-17,1.7992960781913085e-09
Beijing,0.0010559306889032511,0.0103270771061647,4.6338166839167894e-14,0.0032582822999110434
Beijing West Road,1.758188500189114e-12,1.758184573918134e-11,2.804311120213265e-27,5.559866421006212e-12
Beijing's austerity programs,7.42350871847895e-14,4.425561477891176e-13,1.8365734909423563e-24,1.4794002716162728e-13
Belfast Car Ferries,2.6231421985835836e-18,2.466731692889219e-17,4.676344809436324e-41,7.75790807329516e-18
Belgaum district,8.457437901479411e-12,5.4024422136617245e-11,6.335411317858785e-20,1.8570104630089247e-11
Beltran Leyva leaders or operatives,3.948097141841918e-31,3.9068962135088196e-30,1.4477527340495171e-53,1.2340884166398954e-30
Benjamin Netanyahu,3.468390165911364e-05,0.0003309378575572,7.656922306912402e-14,0.00010413796133910119
Beruni,1.0281421837491755e-10,6.889866589678391e-10,2.0978967673383266e-13,2.2206930771670336e-10
Besson,9.172642757281687e-08,8.408944621441958e-07,8.09747305360041e-13,2.6351357255606617e-07
Best Player,1.4045840137243234e-09,1.3253048927169341e-08,6.058126183637179e-13,4.164713516771908e-09
Betsy Engelken,1.0414111143944103e-17,6.41503727651635e-17,2.2703554248109863e-25,2.039259662763119e-17
Big Show,0.0001999158598477557,0.0008772990769934,5.6645436705737246e-11,0.0003329780105140045
"Bill Laswell, another electronic adventurer",3.1899796694329213e-21,2.6813528492017272e-20,5.363094385260001e-35,8.403053146935236e-21
Bin Laden financed the attack and assigned one of his top assistants to supervise it,3.782397874472701e-53,3.6502851498223404e-52,2.8870373475094183e-66,1.1499736542793285e-52
Binaural,9.961123270765913e-12,8.074562483335866e-11,2.981326117331081e-27,2.5545335441896317e-11
Binod Kumar Singh of CPI (ML) L,4.7197618896419496e-27,3.0665741541644236e-26,6.0605322398548765e-37,1.0492982050881448e-26
Biological patents,3.051409617081887e-15,2.6522813747874175e-14,5.068885742510663e-19,8.323785538393248e-15
Bishop of Charleston,6.419167988321201e-13,6.4178498868899475e-12,8.75924428921873e-21,2.0294560355088283e-12
Bishops,1.482808415717819e-07,1.1181431574516169e-06,1.6996955275096472e-09,3.426990095648113e-07
Blachut,2.4483103573947224e-18,1.711233833028324e-17,5.507094442931841e-24,5.288628376167074e-18
Blackmore replacing Edwards,6.780561569409115e-18,4.8905056260600046e-17,3.52520098542797e-27,1.5758774099386632e-17
Bloordale Village,8.966924692304427e-17,8.957456573350447e-16,4.1061061873116193e-25,2.8322644347847133e-16
Blowzabella,6.752173913194387e-19,6.742486477949939e-18,3.114709984769557e-31,2.131823050430342e-18
Bob Fosse's snake looks and moves,3.0004242901980846e-29,2.425873068049471e-28,3.353425463844467e-38,7.580126682031603e-29
Bohemia,3.5252906621547157e-12,3.079234583847723e-11,5.784080650450957e-19,9.645204500332592e-12
Boise I,6.171889949450111e-17,2.83526526358192e-16,1.915894388021426e-20,9.7601843550613e-17
Bolton,4.502544537302167e-12,3.1906903866116785e-11,1.6718645003211866e-19,9.906585151797699e-12
Bonar Law,2.225730850873866e-10,2.2253045500252037e-09,8.952595623696961e-20,7.036881205024116e-10
Book,1.0859628559956037e-06,4.772472948388895e-06,4.127947761389805e-08,1.4940919755481328e-06
Boston,0.0006350499966533219,0.0025345338508486,3.5426090505552565e-08,0.0008518787644374784
Both platforms,9.343217140297562e-06,5.294176743377531e-05,3.669571017472087e-12,1.8083342899477343e-05
Bradford,1.8296792133810584e-06,9.30112225751078e-06,3.689333006488743e-14,3.6213888394958065e-06
"Brain cells producing other brain chemicals such as GABA, norepinephrine, serotonin and acetylcholine",7.126321508948475e-30,6.259817981975822e-29,3.942031253204521e-37,1.952021419830029e-29
"Brazil, which witnessed five military presidents",1.1117992922669852e-16,1.0762771938762492e-15,1.1979838115268137e-22,3.392405298765351e-16
Brennan,1.1185824206992368e-12,1.006715669889217e-11,3.1561774637969185e-22,3.154950956036402e-12
Bridge,1.7798785476585976e-07,1.1804090718214866e-06,6.886239134473726e-09,3.6529412180113205e-07
British Airways,0.0011032221207809437,0.0045188942072975,9.325228442949624e-09,0.0016276308804014817
British overseas territories and overseas possessions of the Netherlands including Aruba and the former Netherlands Antilles,8.771694533194227e-25,6.3000970973133795e-24,1.3633032369997326e-32,2.0396650352882913e-24
British success,1.0785082376966825e-09,9.290252474526824e-09,2.3532481041920883e-14,2.9003853240202177e-09
Brown,0.0013908901444412802,0.0049480367451906,2.729823478375692e-09,0.001962986303941368
Budd Company,6.54482861406373e-14,3.5227321152915205e-13,6.638896670685572e-19,1.1162890239571273e-13
Buddha,1.1670491032108142e-15,1.0476552359352226e-14,3.762026907229077e-21,3.2822791066052924e-15
"Buffalo, New York",1.2216284871999849e-06,4.430493309602013e-06,6.472625010684139e-14,1.9218074510184628e-06
Building,4.0910185017395406e-07,3.541612386470661e-06,4.660299701697568e-09,1.1027194128271662e-06
Bush,6.117990246412575e-07,3.0248979783209502e-06,4.581699020178576e-09,1.093253358981536e-06
CBN,1.4974777704258216e-07,1.2518051622033136e-06,1.1996473036127366e-17,3.89946724189181e-07
CBS,0.006935635897676198,0.0272805094718933,2.019076816850429e-07,0.010947870081970219
CEO,4.186520400351057e-06,2.6106617951882072e-05,3.939610859760023e-09,8.110104429220612e-06
CFB Trenton,6.355489876119485e-11,5.768540673662347e-10,1.7993665925569442e-24,1.806948123420735e-10
CIA,2.788963418254298e-06,1.6039974070736207e-05,1.5026500932435738e-08,5.014166188373796e-06
California,0.0025914427001404,0.0203600320965051,6.3513931891634465e-09,0.0063937445276795
California's roads and bridges,2.5354776115203534e-10,1.084718158881075e-09,3.09872319558824e-19,3.6307912579345897e-10
Caloundra in southern Queensland,3.227424611292856e-15,3.1653922655824484e-14,5.263050274566927e-22,9.988880774003524e-15
Camp Morton,1.7681295887194865e-06,1.768009886658631e-05,6.753659637022549e-17,5.59089611213861e-06
Canada,0.006086523636218603,0.0349208563566207,1.4152702121350558e-08,0.010964418248388601
Canberra and Melbourne,2.664296567059301e-12,2.6439702614025763e-11,2.4947734327989404e-18,8.354009195629573e-12
Capri,7.427367843186448e-09,4.4536741772274174e-08,3.6813371534368144e-14,1.6039893111362792e-08
Carl Edwards,0.0013091016839666065,0.0082477425568441,9.931078596893297e-09,0.0027607645616971044
Cartan,1.7509643568728124e-11,7.104474191048097e-11,4.645863885852481e-15,2.6776167577898953e-11
Castle Harlan,3.935556658407297e-20,3.924033418714296e-19,7.19278675696238e-26,1.2404845578721632e-19
Catholicism,2.91524891636528e-05,0.0002680395591056,8.030177091846326e-14,8.414475486195728e-05
Catholics,0.00010752348646211865,0.0007413584463246,7.287589399020973e-12,0.00023666443154909245
Cerros de Quiman,1.1509989216642095e-23,5.969058463876522e-23,9.387450804121159e-43,2.4285889581422853e-23
"Charles II, Duke of Lorraine",9.145778429300266e-09,9.084547304581061e-08,1.634827368223468e-25,2.870683608522377e-08
"Charles Mudede of The Stranger said ""It",2.6562125964181654e-20,1.4720454408785371e-19,9.061309564404606e-31,5.632755755602766e-20
"Chattanooga, Tenn.",1.3527390988736549e-15,1.3409825447191028e-14,9.136664603198896e-29,4.236533857089636e-15
Chaucer College,6.347422653824506e-15,3.1420335124051195e-14,4.266003607933766e-21,1.0296962029372615e-14
Chekhov,5.12152750435527e-13,3.79551807251306e-12,2.8993701039609224e-20,1.2024011308640549e-12
Cheltenham College Junior School,6.771225812893984e-15,6.748240382879535e-14,1.143255104211554e-26,2.1331845871369942e-14
Chennai's first match of the tournament,2.4052017289512304e-21,1.2388921550740817e-20,1.2076424076242432e-39,4.624541667302213e-21
Cherokee County,1.0235970784060695e-11,9.119812318204432e-11,8.855595018294396e-22,2.8662639263996443e-11
Chicago,0.049002169145546046,0.4900095164775848,4.1588229748867895e-08,0.15495418694593036
Chicago's south side,1.7100124088567963e-07,1.69291077316538e-06,1.485892055127046e-23,5.347543158363264e-07
China,0.0447380299486955,0.2037735879421234,3.5414952748169526e-08,0.07025322924198042
China II as the villainous General Lan,9.452686857557291e-29,6.2786696556718325e-28,6.643458361330232e-49,2.1229107098956113e-28
"China's top political advisor, Jia Qinglin",1.0223550636394489e-29,9.915289276997975e-29,1.4282380546622875e-42,3.125066801805785e-29
"China, in recent years also introduced a production line of pre-separating kilns, constructed large scale",8.560831178000992e-67,4.7155918382223073e-66,2.7605765386913582e-92,1.509362218367684e-66
Chinese exporters,5.129843717064678e-05,0.000388581228259,9.041318395980617e-18,0.00012063185191123
Chordeleg,2.2951157543276255e-16,1.955364020848124e-15,8.829186370810541e-24,6.112629220608847e-16
Christine,1.471171120174115e-07,6.613350921920577e-07,7.280906031326205e-15,2.285419463220936e-07
Christoph Willibald Gluck,9.801560738846848e-27,9.801560737103202e-26,9.142701131461918e-47,3.0995256553112315e-26
Chrysler,5.428874112122495e-08,5.374750463472287e-07,1.1930477427981192e-19,1.6978283148567522e-07
CityRail,2.219322933804044e-08,1.1700499822167746e-07,6.918004605601126e-14,3.952516722168772e-08
Civil Aviation Safety Authority,5.1630509589671714e-08,1.8789246065717017e-07,5.3572877863651396e-11,6.363817655303708e-08
Civil War,4.927304342464831e-06,3.934550550961126e-05,1.192736290385093e-07,1.2138329385580944e-05
"Cleethorpes, North East Lincolnshire, England",1.889217219678586e-17,1.5130234994375383e-16,1.0844735627896445e-30,4.718186784364305e-17
Clement Desessard,2.732585548957557e-25,2.623170121660877e-24,1.4047406582503266e-31,8.26125480208316e-25
Clifton Williams,2.1223849224261889e-13,1.168844491234604e-12,8.155861394491936e-20,3.6415536593148025e-13
Clinton's visit,1.989381434212962e-08,1.2842998902057245e-07,5.578393120655129e-22,4.007319587738163e-08
Clopidogrel,1.5851209041808492e-19,9.575232392572962e-19,2.056630344285598e-27,3.4289742985262246e-19
Clube Atletico Paranaense and Democrata Futebol Clube,1.2188359859672024e-27,1.1938379839613272e-26,1.895080852552559e-35,3.7672103932995916e-27
"Clube Atletico Taquaritinga, commonly known as Taquaritinga",2.9536433011308352e-40,2.950699682159596e-39,1.985693281240431e-63,9.329901990747152e-40
Clun Forest,2.523246592743583e-13,1.014007599310003e-12,8.484659595777615e-17,3.80465033543178e-13
Col de la Madonne transmitter is a very large broadcasting centre,8.025572310899649e-32,4.0659329727916365e-31,6.194490478073065e-48,1.3733078681099625e-31
"Cole Porter, her first being",1.2000752759537197e-18,8.72038703088748e-18,1.0174549044368211e-24,2.753404861808218e-18
Collie and Dardanup,8.807537507473308e-26,8.778856191629395e-25,5.298449956498702e-34,2.7751225580408715e-25
Collier's Weekly,6.570766065952917e-12,6.074361976612974e-11,6.381945466622785e-23,1.906894339295602e-11
Colombo,0.00017617275171487903,0.00171265014582,1.9894624775977825e-11,0.0005400521716270587
Comments on the Peak of Eloquence (Sharh Nahj al-Balagha'),2.0743998367205595e-51,1.2820460842318754e-50,3.687432439876653e-81,4.320213364343816e-51
Common examples,2.7703554170502686e-10,1.944546630005639e-09,4.155916434567623e-13,6.242902694522327e-10
